Filename,Class,Parent_A_Subject,Parent_A_Group,Parent_B_Subject,Parent_B_Group,Alpha
lh_Healthy_aug_0001_SPHARM_ellalign.coef,Healthy,left_Healthy_sub-4078_hippocampus_lh_aligned,Healthy,left_Healthy_sub-4090_hippocampus_lh_aligned,Healthy,0.0930
lh_Healthy_aug_0002_SPHARM_ellalign.coef,Healthy,left_Healthy_sub-4078_hippocampus_lh_aligned,Healthy,left_Healthy_sub-4090_hippocampus_lh_aligned,Healthy,0.2241
lh_Healthy_aug_0003_SPHARM_ellalign.coef,Healthy,left_Healthy_sub-4078_hippocampus_lh_aligned,Healthy,left_Healthy_sub-4090_hippocampus_lh_aligned,Healthy,0.3346
lh_Healthy_aug_0004_SPHARM_ellalign.coef,Healthy,left_Healthy_sub-4078_hippocampus_lh_aligned,Healthy,left_Healthy_sub-4090_hippocampus_lh_aligned,Healthy,0.4568
lh_Healthy_aug_0005_SPHARM_ellalign.coef,Healthy,left_Healthy_sub-4078_hippocampus_lh_aligned,Healthy,left_Healthy_sub-4090_hippocampus_lh_aligned,Healthy,0.5634
lh_Healthy_aug_0006_SPHARM_ellalign.coef,Healthy,left_Healthy_sub-4078_hippocampus_lh_aligned,Healthy,left_Healthy_sub-4090_hippocampus_lh_aligned,Healthy,0.6742
lh_Healthy_aug_0007_SPHARM_ellalign.coef,Healthy,left_Healthy_sub-4078_hippocampus_lh_aligned,Healthy,left_Healthy_sub-4090_hippocampus_lh_aligned,Healthy,0.7695
lh_Healthy_aug_0008_SPHARM_ellalign.coef,Healthy,left_Healthy_sub-4078_hippocampus_lh_aligned,Healthy,left_Healthy_sub-4090_hippocampus_lh_aligned,Healthy,0.8947
lh_Healthy_aug_0009_SPHARM_ellalign.coef,Healthy,left_Healthy_sub-36387_hippocampus_lh_aligned,Healthy,left_Healthy_sub-144_hippocampus_lh_aligned,Healthy,0.0906
lh_Healthy_aug_0010_SPHARM_ellalign.coef,Healthy,left_Healthy_sub-36387_hippocampus_lh_aligned,Healthy,left_Healthy_sub-144_hippocampus_lh_aligned,Healthy,0.2040
lh_Healthy_aug_0011_SPHARM_ellalign.coef,Healthy,left_Healthy_sub-36387_hippocampus_lh_aligned,Healthy,left_Healthy_sub-144_hippocampus_lh_aligned,Healthy,0.3475
lh_Healthy_aug_0012_SPHARM_ellalign.coef,Healthy,left_Healthy_sub-36387_hippocampus_lh_aligned,Healthy,left_Healthy_sub-144_hippocampus_lh_aligned,Healthy,0.4386
lh_Healthy_aug_0013_SPHARM_ellalign.coef,Healthy,left_Healthy_sub-36387_hippocampus_lh_aligned,Healthy,left_Healthy_sub-144_hippocampus_lh_aligned,Healthy,0.5728
lh_Healthy_aug_0014_SPHARM_ellalign.coef,Healthy,left_Healthy_sub-36387_hippocampus_lh_aligned,Healthy,left_Healthy_sub-144_hippocampus_lh_aligned,Healthy,0.6767
lh_Healthy_aug_0015_SPHARM_ellalign.coef,Healthy,left_Healthy_sub-36387_hippocampus_lh_aligned,Healthy,left_Healthy_sub-144_hippocampus_lh_aligned,Healthy,0.7975
lh_Healthy_aug_0016_SPHARM_ellalign.coef,Healthy,left_Healthy_sub-36387_hippocampus_lh_aligned,Healthy,left_Healthy_sub-144_hippocampus_lh_aligned,Healthy,0.9001
lh_Healthy_aug_0017_SPHARM_ellalign.coef,Healthy,left_Healthy_sub-4084_hippocampus_lh_aligned,Healthy,left_Healthy_sub-271_hippocampus_lh_aligned,Healthy,0.1031
lh_Healthy_aug_0018_SPHARM_ellalign.coef,Healthy,left_Healthy_sub-4084_hippocampus_lh_aligned,Healthy,left_Healthy_sub-271_hippocampus_lh_aligned,Healthy,0.2140
