Filename,Class,Parent_A_Subject,Parent_A_Group,Parent_B_Subject,Parent_B_Group,Alpha
rh_Healthy_aug_0001_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-4030_hippocampus_rh_aligned,Healthy,right_Healthy_sub-4047_hippocampus_rh_aligned,Healthy,0.1055
rh_Healthy_aug_0002_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-4030_hippocampus_rh_aligned,Healthy,right_Healthy_sub-4047_hippocampus_rh_aligned,Healthy,0.2043
rh_Healthy_aug_0003_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-4030_hippocampus_rh_aligned,Healthy,right_Healthy_sub-4047_hippocampus_rh_aligned,Healthy,0.3322
rh_Healthy_aug_0004_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-4030_hippocampus_rh_aligned,Healthy,right_Healthy_sub-4047_hippocampus_rh_aligned,Healthy,0.4620
rh_Healthy_aug_0005_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-4030_hippocampus_rh_aligned,Healthy,right_Healthy_sub-4047_hippocampus_rh_aligned,Healthy,0.5566
rh_Healthy_aug_0006_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-4030_hippocampus_rh_aligned,Healthy,right_Healthy_sub-4047_hippocampus_rh_aligned,Healthy,0.6877
rh_Healthy_aug_0007_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-4030_hippocampus_rh_aligned,Healthy,right_Healthy_sub-4047_hippocampus_rh_aligned,Healthy,0.7831
rh_Healthy_aug_0008_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-4030_hippocampus_rh_aligned,Healthy,right_Healthy_sub-4047_hippocampus_rh_aligned,Healthy,0.8940
rh_Healthy_aug_0009_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-4050_hippocampus_rh_aligned,Healthy,right_Healthy_sub-4058_hippocampus_rh_aligned,Healthy,0.1058
rh_Healthy_aug_0010_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-4050_hippocampus_rh_aligned,Healthy,right_Healthy_sub-4058_hippocampus_rh_aligned,Healthy,0.2210
rh_Healthy_aug_0011_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-4050_hippocampus_rh_aligned,Healthy,right_Healthy_sub-4058_hippocampus_rh_aligned,Healthy,0.3431
rh_Healthy_aug_0012_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-4050_hippocampus_rh_aligned,Healthy,right_Healthy_sub-4058_hippocampus_rh_aligned,Healthy,0.4321
rh_Healthy_aug_0013_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-4050_hippocampus_rh_aligned,Healthy,right_Healthy_sub-4058_hippocampus_rh_aligned,Healthy,0.5571
rh_Healthy_aug_0014_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-4050_hippocampus_rh_aligned,Healthy,right_Healthy_sub-4058_hippocampus_rh_aligned,Healthy,0.6743
rh_Healthy_aug_0015_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-4050_hippocampus_rh_aligned,Healthy,right_Healthy_sub-4058_hippocampus_rh_aligned,Healthy,0.7965
rh_Healthy_aug_0016_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-4050_hippocampus_rh_aligned,Healthy,right_Healthy_sub-4058_hippocampus_rh_aligned,Healthy,0.8817
rh_Healthy_aug_0017_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-361_hippocampus_rh_aligned,Healthy,right_Healthy_sub-27_hippocampus_rh_aligned,Healthy,0.1198
rh_Healthy_aug_0018_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-361_hippocampus_rh_aligned,Healthy,right_Healthy_sub-27_hippocampus_rh_aligned,Healthy,0.2131
rh_Healthy_aug_0019_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-361_hippocampus_rh_aligned,Healthy,right_Healthy_sub-27_hippocampus_rh_aligned,Healthy,0.3198
rh_Healthy_aug_0020_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-361_hippocampus_rh_aligned,Healthy,right_Healthy_sub-27_hippocampus_rh_aligned,Healthy,0.4582
rh_Healthy_aug_0021_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-361_hippocampus_rh_aligned,Healthy,right_Healthy_sub-27_hippocampus_rh_aligned,Healthy,0.5671
rh_Healthy_aug_0022_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-361_hippocampus_rh_aligned,Healthy,right_Healthy_sub-27_hippocampus_rh_aligned,Healthy,0.6896
rh_Healthy_aug_0023_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-361_hippocampus_rh_aligned,Healthy,right_Healthy_sub-27_hippocampus_rh_aligned,Healthy,0.7789
rh_Healthy_aug_0024_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-361_hippocampus_rh_aligned,Healthy,right_Healthy_sub-27_hippocampus_rh_aligned,Healthy,0.9021
rh_Healthy_aug_0025_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-4087_hippocampus_rh_aligned,Healthy,right_Healthy_sub-4077_hippocampus_rh_aligned,Healthy,0.1029
rh_Healthy_aug_0026_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-4087_hippocampus_rh_aligned,Healthy,right_Healthy_sub-4077_hippocampus_rh_aligned,Healthy,0.2335
rh_Healthy_aug_0027_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-4087_hippocampus_rh_aligned,Healthy,right_Healthy_sub-4077_hippocampus_rh_aligned,Healthy,0.3116
rh_Healthy_aug_0028_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-4087_hippocampus_rh_aligned,Healthy,right_Healthy_sub-4077_hippocampus_rh_aligned,Healthy,0.4351
rh_Healthy_aug_0029_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-4087_hippocampus_rh_aligned,Healthy,right_Healthy_sub-4077_hippocampus_rh_aligned,Healthy,0.5448
rh_Healthy_aug_0030_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-4087_hippocampus_rh_aligned,Healthy,right_Healthy_sub-4077_hippocampus_rh_aligned,Healthy,0.6622
rh_Healthy_aug_0031_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-4087_hippocampus_rh_aligned,Healthy,right_Healthy_sub-4077_hippocampus_rh_aligned,Healthy,0.7851
rh_Healthy_aug_0032_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-4087_hippocampus_rh_aligned,Healthy,right_Healthy_sub-4077_hippocampus_rh_aligned,Healthy,0.8949
rh_Healthy_aug_0033_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-04202_hippocampus_rh_aligned,Healthy,right_Healthy_sub-39_hippocampus_rh_aligned,Healthy,0.0958
rh_Healthy_aug_0034_SPHARM_ellalign.coef,Healthy,right_Healthy_sub-04202_hippocampus_rh_aligned,Healthy,right_Healthy_sub-39_hippocampus_rh_aligned,Healthy,0.2281
